chargeDescription,codeUcr,count,comb,category
PETTY THEFT(Pocket Picking) (M),6CG,13,PETTY THEFT(Pocket Picking) (M) - 6CG,1
SHOPLIFTING (M),6CG,206,SHOPLIFTING (M) - 6CG,1
THEFT,6CG,8,THEFT - 6CG,1
THEFT (M),6CG,126,THEFT (M) - 6CG,1
THEFT NOT EXCEEDING $950 (M),6CG,3,THEFT NOT EXCEEDING $950 (M) - 6CG,1
PETTY THEFT,6CH,1,PETTY THEFT - 6CH,1
PETTY THEFT(All Other Larceny) (M),6CH,1,PETTY THEFT(All Other Larceny) (M) - 6CH,1
PETTY THEFT(from Building) (M),6CH,1,PETTY THEFT(from Building) (M) - 6CH,1
GRAND THEFT FROM PERSON,6CI,1,GRAND THEFT FROM PERSON - 6CI,1
GRAND THEFT: CARGO EXCEEDS $950,6CI,1,GRAND THEFT: CARGO EXCEEDS $950 - 6CI,1
GRAND THEFT:MONEY/LABOR/PROPERTY (F),6CI,8,GRAND THEFT:MONEY/LABOR/PROPERTY (F) - 6CI,1
GRAND THEFT/UNSPECIFIED,6CI,1,GRAND THEFT/UNSPECIFIED - 6CI,1
PETTY THEFT,6CI,52,PETTY THEFT - 6CI,1
PETTY THEFT / THEFT OF PERSONAL PROPERTY / SHOPLIFT,6CI,47,PETTY THEFT / THEFT OF PERSONAL PROPERTY / SHOPLIFT - 6CI,1
PETTY THEFT:DOG [$950 OR LESS] (M),6CI,1,PETTY THEFT:DOG [$950 OR LESS] (M) - 6CI,1
PETTY THEFT(All Other Larceny) (M),6CI,214,PETTY THEFT(All Other Larceny) (M) - 6CI,1
PETTY THEFT(from Building) (M),6CI,30,PETTY THEFT(from Building) (M) - 6CI,1
PETTY THEFT(Pocket Picking) (M),6CI,3,PETTY THEFT(Pocket Picking) (M) - 6CI,1
TAMPER WITH AUTO,6CI,2,TAMPER WITH AUTO - 6CI,1
TAMPER WITH VEH,6CI,2,TAMPER WITH VEH - 6CI,1
THEFT,6CI,21,THEFT - 6CI,1
THEFT (M),6CI,51,THEFT (M) - 6CI,1
THEFT NOT EXCEEDING $950 (M),6CI,1,THEFT NOT EXCEEDING $950 (M) - 6CI,1
GRAND THEFT FROM PERS (Pocket-Picking) (F),6DA,6,GRAND THEFT FROM PERS (Pocket-Picking) (F) - 6DA,1
GRAND THEFT FROM PERSON,6DA,1,GRAND THEFT FROM PERSON - 6DA,1
GRAND THEFT:MONEY/LABOR/PROPERTY OVER $950,6DA,2,GRAND THEFT:MONEY/LABOR/PROPERTY OVER $950 - 6DA,1
PETTY THEFT(Pocket Picking) (M),6DA,1,PETTY THEFT(Pocket Picking) (M) - 6DA,1
THEFT,6DA,1,THEFT - 6DA,1
GRAND THEFT FROM PERS (Purse-Snatching) (F),6DB,3,GRAND THEFT FROM PERS (Purse-Snatching) (F) - 6DB,1
PETTY THEFT(Purse Snatch) (M),6DB,22,PETTY THEFT(Purse Snatch) (M) - 6DB,1
THEFT (M),6DB,1,THEFT (M) - 6DB,1
ATTEMPTED GRAND THEFT,6DC,1,ATTEMPTED GRAND THEFT - 6DC,1
BURGLARY (COMMERCIAL) (F),6DC,2,BURGLARY (COMMERCIAL) (F) - 6DC,1
BURGLARY (SHOPLIFTING) (F),6DC,17,BURGLARY (SHOPLIFTING) (F) - 6DC,1
BURGLARY (SHOPLIFTING) (M),6DC,96,BURGLARY (SHOPLIFTING) (M) - 6DC,1
BURGLARY/FIRST DEGREE,6DC,1,BURGLARY/FIRST DEGREE - 6DC,1
BURGLARY/UNSPECIFIED,6DC,2,BURGLARY/UNSPECIFIED - 6DC,1
GRAND THEFT (Shoplifting) (F),6DC,5,GRAND THEFT (Shoplifting) (F) - 6DC,1
GRAND THEFT:MONEY/LABOR/PROPERTY OVER $950,6DC,2,GRAND THEFT:MONEY/LABOR/PROPERTY OVER $950 - 6DC,1
GRAND THEFT/UNSPECIFIED,6DC,8,GRAND THEFT/UNSPECIFIED - 6DC,1
PETTY THEFT,6DC,122,PETTY THEFT - 6DC,1
PETTY THEFT / THEFT OF PERSONAL PROPERTY / SHOPLIFT,6DC,18,PETTY THEFT / THEFT OF PERSONAL PROPERTY / SHOPLIFT - 6DC,1
PETTY THEFT UNDER $50 W/O PRIOR,6DC,2,PETTY THEFT UNDER $50 W/O PRIOR - 6DC,1
PETTY THEFT W/PR JAIL TERM (Shoplifting) (F),6DC,1,PETTY THEFT W/PR JAIL TERM (Shoplifting) (F) - 6DC,1
PETTY THEFT(All Other Larceny) (M),6DC,2,PETTY THEFT(All Other Larceny) (M) - 6DC,1
PETTY THEFT(from Building) (M),6DC,4,PETTY THEFT(from Building) (M) - 6DC,1
PETTY THEFT(Shoplift) (M),6DC,477,PETTY THEFT(Shoplift) (M) - 6DC,1
SHOPLIFTING (M),6DC,26,SHOPLIFTING (M) - 6DC,1
THEFT,6DC,15,THEFT - 6DC,1
THEFT (M),6DC,8,THEFT (M) - 6DC,1
ATTEMPT BURGLARY,6DD,1,ATTEMPT BURGLARY - 6DD,1
ATTEMPTED BURGLARY:DEGREE UNSPECIFIED,6DD,3,ATTEMPTED BURGLARY:DEGREE UNSPECIFIED - 6DD,1
ATTEMPTED GRAND THEFT,6DD,1,ATTEMPTED GRAND THEFT - 6DD,1
ATTEMPTED PETTY THEFT,6DD,2,ATTEMPTED PETTY THEFT - 6DD,1
BURGLARY (RESIDENTIAL) (F),6DD,1,BURGLARY (RESIDENTIAL) (F) - 6DD,1
BURGLARY (SHOPLIFTING) (M),6DD,1,BURGLARY (SHOPLIFTING) (M) - 6DD,1
BURGLARY (VEHICLE) (F),6DD,1481,BURGLARY (VEHICLE) (F) - 6DD,1
BURGLARY DURING STATE OF EMERGENCY - LOOTING (F),6DD,1,BURGLARY DURING STATE OF EMERGENCY - LOOTING (F) - 6DD,1
BURGLARY:UNSPECIFIED,6DD,3,BURGLARY:UNSPECIFIED - 6DD,1
BURGLARY/ SECOND DEGREE,6DD,2,BURGLARY/ SECOND DEGREE - 6DD,1
BURGLARY/FIRST DEGREE,6DD,2,BURGLARY/FIRST DEGREE - 6DD,1
BURGLARY/SECOND DEGREE,6DD,9,BURGLARY/SECOND DEGREE - 6DD,1
BURGLARY/UNSPECIFIED,6DD,365,BURGLARY/UNSPECIFIED - 6DD,1
GRAND THEFT (Theft From Mot Veh) (F),6DD,82,GRAND THEFT (Theft From Mot Veh) (F) - 6DD,1
GRAND THEFT:MONEY/LABOR/PROPERTY OVER $950,6DD,6,GRAND THEFT:MONEY/LABOR/PROPERTY OVER $950 - 6DD,1
GRAND THEFT/UNSPECIFIED,6DD,16,GRAND THEFT/UNSPECIFIED - 6DD,1
PETTY THEFT,6DD,92,PETTY THEFT - 6DD,1
PETTY THEFT / THEFT OF PERSONAL PROPERTY / SHOPLIFT,6DD,103,PETTY THEFT / THEFT OF PERSONAL PROPERTY / SHOPLIFT - 6DD,1
PETTY THEFT(All Other Larceny) (M),6DD,2,PETTY THEFT(All Other Larceny) (M) - 6DD,1
PETTY THEFT(from Veh) (M),6DD,715,PETTY THEFT(from Veh) (M) - 6DD,1
TAMPER WITH AUTO,6DD,305,TAMPER WITH AUTO - 6DD,1
TAMPER WITH VEH,6DD,6,TAMPER WITH VEH - 6DD,1
THEFT,6DD,33,THEFT - 6DD,1
THEFT (M),6DD,11,THEFT (M) - 6DD,1
BURGLARY (VEHICLE) (F),6DE,30,BURGLARY (VEHICLE) (F) - 6DE,1
BURGLARY/UNSPECIFIED,6DE,6,BURGLARY/UNSPECIFIED - 6DE,1
GRAND THEFT (Theft of Mot Veh Parts/Acc) (F),6DE,8,GRAND THEFT (Theft of Mot Veh Parts/Acc) (F) - 6DE,1
PETTY THEFT,6DE,1,PETTY THEFT - 6DE,1
PETTY THEFT / THEFT OF PERSONAL PROPERTY / SHOPLIFT,6DE,1,PETTY THEFT / THEFT OF PERSONAL PROPERTY / SHOPLIFT - 6DE,1
PETTY THEFT(Mot Veh Parts) (M),6DE,193,PETTY THEFT(Mot Veh Parts) (M) - 6DE,1
TAMPER WITH AUTO,6DE,1,TAMPER WITH AUTO - 6DE,1
TAMPER WITH VEH,6DE,2,TAMPER WITH VEH - 6DE,1
GRAND THEFT:MONEY/LABOR/PROPERTY (F),6DF,2,GRAND THEFT:MONEY/LABOR/PROPERTY (F) - 6DF,1
PETTY THEFT,6DF,1,PETTY THEFT - 6DF,1
PETTY THEFT / THEFT OF PERSONAL PROPERTY / SHOPLIFT,6DF,3,PETTY THEFT / THEFT OF PERSONAL PROPERTY / SHOPLIFT - 6DF,1
PETTY THEFT(All Other Larceny) (M),6DF,9,PETTY THEFT(All Other Larceny) (M) - 6DF,1
PETTY THEFT(from Building) (M),6DF,1,PETTY THEFT(from Building) (M) - 6DF,1
THEFT,6DF,1,THEFT - 6DF,1
THEFT (M),6DF,1,THEFT (M) - 6DF,1
ATTEMPTED PETTY THEFT,6DG,2,ATTEMPTED PETTY THEFT - 6DG,1
BURGLARY (SHOPLIFTING) (M),6DG,19,BURGLARY (SHOPLIFTING) (M) - 6DG,1
GRAND THEFT - ANIMAL (F),6DG,2,GRAND THEFT - ANIMAL (F) - 6DG,1
GRAND THEFT (Theft From Building) (F),6DG,7,GRAND THEFT (Theft From Building) (F) - 6DG,1
GRAND THEFT (Theft From Mot Veh) (F),6DG,1,GRAND THEFT (Theft From Mot Veh) (F) - 6DG,1
GRAND THEFT BY SERVANT/ETC [$950 OR MORE] (F),6DG,1,GRAND THEFT BY SERVANT/ETC [$950 OR MORE] (F) - 6DG,1
"GRAND THEFT: VEHICLES, VESSELS/ETC (F)",6DG,1,"GRAND THEFT: VEHICLES, VESSELS/ETC (F) - 6DG",1
GRAND THEFT:FIREARM/ANIMAL (All Other Larceny) (F),6DG,1,GRAND THEFT:FIREARM/ANIMAL (All Other Larceny) (F) - 6DG,1
GRAND THEFT:FIREARM/ANIMAL (Theft From Building) (F),6DG,2,GRAND THEFT:FIREARM/ANIMAL (Theft From Building) (F) - 6DG,1
GRAND THEFT:MONEY/LABOR/PROPERTY (F),6DG,196,GRAND THEFT:MONEY/LABOR/PROPERTY (F) - 6DG,1
GRAND THEFT:MONEY/LABOR/PROPERTY OVER $400,6DG,1,GRAND THEFT:MONEY/LABOR/PROPERTY OVER $400 - 6DG,1
GRAND THEFT:MONEY/LABOR/PROPERTY OVER $950,6DG,22,GRAND THEFT:MONEY/LABOR/PROPERTY OVER $950 - 6DG,1
GRAND THEFT/UNSPECIFIED,6DG,16,GRAND THEFT/UNSPECIFIED - 6DG,1
PETTY THEFT,6DG,176,PETTY THEFT - 6DG,1
PETTY THEFT / THEFT OF PERSONAL PROPERTY / SHOPLIFT,6DG,125,PETTY THEFT / THEFT OF PERSONAL PROPERTY / SHOPLIFT - 6DG,1
PETTY THEFT W/PR JAIL TERM (Theft From Building) (F),6DG,1,PETTY THEFT W/PR JAIL TERM (Theft From Building) (F) - 6DG,1
PETTY THEFT:DURING STATE OF EMERGENCY - LOOTING (M),6DG,1,PETTY THEFT:DURING STATE OF EMERGENCY - LOOTING (M) - 6DG,1
PETTY THEFT(All Other Larceny) (M),6DG,758,PETTY THEFT(All Other Larceny) (M) - 6DG,1
PETTY THEFT(from Building) (M),6DG,163,PETTY THEFT(from Building) (M) - 6DG,1
PETTY THEFT(from Coin Oper Machine) (M),6DG,1,PETTY THEFT(from Coin Oper Machine) (M) - 6DG,1
PETTY THEFT(Pocket Picking) (M),6DG,8,PETTY THEFT(Pocket Picking) (M) - 6DG,1
PETTY THEFT(Shoplift) (M),6DG,8,PETTY THEFT(Shoplift) (M) - 6DG,1
SHOPLIFTING (M),6DG,154,SHOPLIFTING (M) - 6DG,1
THEFT,6DG,24,THEFT - 6DG,1
THEFT (M),6DG,132,THEFT (M) - 6DG,1
THEFT NOT EXCEEDING $950 (M),6DG,1,THEFT NOT EXCEEDING $950 (M) - 6DG,1
ATTEMPTED GRAND THEFT,6DH,1,ATTEMPTED GRAND THEFT - 6DH,1
GRAND THEFT/UNSPECIFIED,6DH,2,GRAND THEFT/UNSPECIFIED - 6DH,1
PETTY THEFT,6DH,2,PETTY THEFT - 6DH,1
ATTEMPTED GRAND THEFT,6DI,3,ATTEMPTED GRAND THEFT - 6DI,1
ATTEMPTED PETTY THEFT,6DI,3,ATTEMPTED PETTY THEFT - 6DI,1
BURGLARY (SHOPLIFTING) (M),6DI,2,BURGLARY (SHOPLIFTING) (M) - 6DI,1
BURGLARY (VEHICLE) (F),6DI,38,BURGLARY (VEHICLE) (F) - 6DI,1
BURGLARY/SECOND DEGREE,6DI,4,BURGLARY/SECOND DEGREE - 6DI,1
BURGLARY/UNSPECIFIED,6DI,2,BURGLARY/UNSPECIFIED - 6DI,1
GRAND THEFT - ANIMAL (F),6DI,1,GRAND THEFT - ANIMAL (F) - 6DI,1
GRAND THEFT (Theft From Building) (F),6DI,1,GRAND THEFT (Theft From Building) (F) - 6DI,1
GRAND THEFT (Theft of Mot Veh Parts/Acc) (F),6DI,3,GRAND THEFT (Theft of Mot Veh Parts/Acc) (F) - 6DI,1
GRAND THEFT FROM PERSON,6DI,5,GRAND THEFT FROM PERSON - 6DI,1
GRAND THEFT:COPPER MATERIALS $950 (F),6DI,1,GRAND THEFT:COPPER MATERIALS $950 (F) - 6DI,1
GRAND THEFT:DOG [OVER $950] (F),6DI,1,GRAND THEFT:DOG [OVER $950] (F) - 6DI,1
GRAND THEFT:MONEY/LABOR/PROPERTY (F),6DI,56,GRAND THEFT:MONEY/LABOR/PROPERTY (F) - 6DI,1
GRAND THEFT:MONEY/LABOR/PROPERTY OVER $950,6DI,23,GRAND THEFT:MONEY/LABOR/PROPERTY OVER $950 - 6DI,1
GRAND THEFT/UNSPECIFIED,6DI,12,GRAND THEFT/UNSPECIFIED - 6DI,1
PETTY THEFT,6DI,101,PETTY THEFT - 6DI,1
PETTY THEFT / THEFT OF PERSONAL PROPERTY / SHOPLIFT,6DI,34,PETTY THEFT / THEFT OF PERSONAL PROPERTY / SHOPLIFT - 6DI,1
PETTY THEFT(All Other Larceny) (M),6DI,185,PETTY THEFT(All Other Larceny) (M) - 6DI,1
PETTY THEFT(from Building) (M),6DI,15,PETTY THEFT(from Building) (M) - 6DI,1
PETTY THEFT(from Veh) (M),6DI,5,PETTY THEFT(from Veh) (M) - 6DI,1
PETTY THEFT(Mot Veh Parts) (M),6DI,2,PETTY THEFT(Mot Veh Parts) (M) - 6DI,1
PETTY THEFT(Pocket Picking) (M),6DI,11,PETTY THEFT(Pocket Picking) (M) - 6DI,1
SHOPLIFTING (M),6DI,2,SHOPLIFTING (M) - 6DI,1
TAMPER WITH AUTO,6DI,66,TAMPER WITH AUTO - 6DI,1
TAMPER WITH VEH,6DI,1099,TAMPER WITH VEH - 6DI,1
THEFT,6DI,21,THEFT - 6DI,1
THEFT (M),6DI,67,THEFT (M) - 6DI,1
THEFT NOT EXCEEDING $950 (M),6DI,1,THEFT NOT EXCEEDING $950 (M) - 6DI,1
ATTEMPT OPERATE VEHICLE W/O OWNER'S CONSENT,7A0,2,ATTEMPT OPERATE VEHICLE W/O OWNER'S CONSENT - 7A0,1
ATTEMPTED BURGLARY:DEGREE UNSPECIFIED,7A0,1,ATTEMPTED BURGLARY:DEGREE UNSPECIFIED - 7A0,1
ATTEMPTED GRAND THEFT,7A0,1,ATTEMPTED GRAND THEFT - 7A0,1
GRAND THEFT (Mot Veh Theft) (F),7A0,7,GRAND THEFT (Mot Veh Theft) (F) - 7A0,1
GRAND THEFT AUTO (F),7A0,2,GRAND THEFT AUTO (F) - 7A0,1
"GRAND THEFT: VEHICLES, VESSELS/ETC (F)",7A0,2,"GRAND THEFT: VEHICLES, VESSELS/ETC (F) - 7A0",1
GRAND THEFT:AUTO (F),7A0,6,GRAND THEFT:AUTO (F) - 7A0,1
GRAND THEFT:MONEY/LABOR/PROPERTY (F),7A0,1,GRAND THEFT:MONEY/LABOR/PROPERTY (F) - 7A0,1
GRAND THEFT:MONEY/LABOR/PROPERTY OVER $950,7A0,1,GRAND THEFT:MONEY/LABOR/PROPERTY OVER $950 - 7A0,1
OTHER AGENCY VEHICLE THEFT/RECOVERY (F),7A0,146,OTHER AGENCY VEHICLE THEFT/RECOVERY (F) - 7A0,1
TAKE ON-CALL EMERGENCY VEH WITHOUT CONSENT (F),7A0,7,TAKE ON-CALL EMERGENCY VEH WITHOUT CONSENT (F) - 7A0,1
TAKE VEHICLE W/O OWNER'S CONSENT/VEHICLE THEFT,7A0,1190,TAKE VEHICLE W/O OWNER'S CONSENT/VEHICLE THEFT - 7A0,1
TAKE VEHICLE W/O OWNER'S CONSENT/VEHICLE THEFT (F),7A0,9123,TAKE VEHICLE W/O OWNER'S CONSENT/VEHICLE THEFT (F) - 7A0,1
TAKE VEHICLE WITHOUT OWNER CONSENT WITH SPECIFIC PRIORS (F),7A0,33,TAKE VEHICLE WITHOUT OWNER CONSENT WITH SPECIFIC PRIORS (F) - 7A0,1
TAKE VESSEL WITHOUT OWNER PERMISSION (M),7A0,5,TAKE VESSEL WITHOUT OWNER PERMISSION (M) - 7A0,1
VEH THEFT:SPECIFIC PRS (F),7A0,18,VEH THEFT:SPECIFIC PRS (F) - 7A0,1
GRAND THEFT:MONEY/LABOR/PROPERTY (F),7B0,5,GRAND THEFT:MONEY/LABOR/PROPERTY (F) - 7B0,1
OTHER AGENCY VEHICLE THEFT/RECOVERY (F),7B0,12,OTHER AGENCY VEHICLE THEFT/RECOVERY (F) - 7B0,1
TAKE VEHICLE W/O OWNER'S CONSENT/VEHICLE THEFT,7B0,97,TAKE VEHICLE W/O OWNER'S CONSENT/VEHICLE THEFT - 7B0,1
TAKE VEHICLE W/O OWNER'S CONSENT/VEHICLE THEFT (F),7B0,1049,TAKE VEHICLE W/O OWNER'S CONSENT/VEHICLE THEFT (F) - 7B0,1
TAKE VEHICLE WITHOUT OWNER CONSENT WITH SPECIFIC PRIORS (F),7B0,6,TAKE VEHICLE WITHOUT OWNER CONSENT WITH SPECIFIC PRIORS (F) - 7B0,1
VEH THEFT:SPECIFIC PRS (F),7B0,2,VEH THEFT:SPECIFIC PRS (F) - 7B0,1
GRAND THEFT (Mot Veh Theft) (F),7C0,18,GRAND THEFT (Mot Veh Theft) (F) - 7C0,1
"GRAND THEFT: VEHICLES, VESSELS/ETC (F)",7C0,1,"GRAND THEFT: VEHICLES, VESSELS/ETC (F) - 7C0",1
GRAND THEFT:AUTO (F),7C0,57,GRAND THEFT:AUTO (F) - 7C0,1
GRAND THEFT:MONEY/LABOR/PROPERTY (F),7C0,18,GRAND THEFT:MONEY/LABOR/PROPERTY (F) - 7C0,1
OTHER AGENCY VEHICLE THEFT/RECOVERY (F),7C0,2,OTHER AGENCY VEHICLE THEFT/RECOVERY (F) - 7C0,1
TAKE ON-CALL EMERGENCY VEH WITHOUT CONSENT (F),7C0,1,TAKE ON-CALL EMERGENCY VEH WITHOUT CONSENT (F) - 7C0,1
TAKE VEHICLE W/O OWNER'S CONSENT/VEHICLE THEFT,7C0,132,TAKE VEHICLE W/O OWNER'S CONSENT/VEHICLE THEFT - 7C0,1
TAKE VEHICLE W/O OWNER'S CONSENT/VEHICLE THEFT (F),7C0,1319,TAKE VEHICLE W/O OWNER'S CONSENT/VEHICLE THEFT (F) - 7C0,1
VEH THEFT:SPECIFIC PRS (F),7C0,4,VEH THEFT:SPECIFIC PRS (F) - 7C0,1
ARSON INHABITED STRUCTURE OR PROPERTY,8AY,5,ARSON INHABITED STRUCTURE OR PROPERTY - 8AY,1
ARSON STRUCTURE OR FOREST LAND,8AY,1,ARSON STRUCTURE OR FOREST LAND - 8AY,1
ARSON:INHABITED STRUCTURE/PROP (F),8AY,26,ARSON:INHABITED STRUCTURE/PROP (F) - 8AY,1
ARSON:PROP (F),8AY,1,ARSON:PROP (F) - 8AY,1
ARSON:STRUCTURE/FOREST LAND (F),8AY,3,ARSON:STRUCTURE/FOREST LAND (F) - 8AY,1
ATTEMPT OR AID ARSON (F),8AY,2,ATTEMPT OR AID ARSON (F) - 8AY,1
ATTEMPT/AID/COUNSEL/PROCURE ARSON,8AY,1,ATTEMPT/AID/COUNSEL/PROCURE ARSON - 8AY,1
ARSON INHABITED STRUCTURE OR PROPERTY,8BY,6,ARSON INHABITED STRUCTURE OR PROPERTY - 8BY,1
ARSON:INHABITED STRUCTURE/PROP (F),8BY,8,ARSON:INHABITED STRUCTURE/PROP (F) - 8BY,1
ATTEMPT OR AID ARSON (F),8BY,1,ATTEMPT OR AID ARSON (F) - 8BY,1
ARSON OF PROPERTY,8CY,2,ARSON OF PROPERTY - 8CY,1
ARSON STRUCTURE OR FOREST LAND,8CY,1,ARSON STRUCTURE OR FOREST LAND - 8CY,1
ARSON INHABITED STRUCTURE OR PROPERTY,8EY,1,ARSON INHABITED STRUCTURE OR PROPERTY - 8EY,1
ARSON OF PROPERTY,8EY,2,ARSON OF PROPERTY - 8EY,1
ARSON STRUCTURE OR FOREST LAND,8EY,6,ARSON STRUCTURE OR FOREST LAND - 8EY,1
ARSON:INHABITED STRUCTURE/PROP (F),8EY,2,ARSON:INHABITED STRUCTURE/PROP (F) - 8EY,1
ARSON:PROP (F),8EY,7,ARSON:PROP (F) - 8EY,1
ARSON:STRUCTURE/FOREST LAND (F),8EY,17,ARSON:STRUCTURE/FOREST LAND (F) - 8EY,1
ATTEMPT OR AID ARSON (F),8EY,3,ATTEMPT OR AID ARSON (F) - 8EY,1
ARSON CAUSING GBI,8FY,1,ARSON CAUSING GBI - 8FY,1
ARSON OF PROPERTY,8FY,2,ARSON OF PROPERTY - 8FY,1
ARSON STRUCTURE OR FOREST LAND,8FY,2,ARSON STRUCTURE OR FOREST LAND - 8FY,1
ARSON:PROP (F),8FY,4,ARSON:PROP (F) - 8FY,1
ARSON:STRUCTURE/FOREST LAND (F),8FY,3,ARSON:STRUCTURE/FOREST LAND (F) - 8FY,1
ARSON OF PROPERTY,8GY,4,ARSON OF PROPERTY - 8GY,1
ARSON STRUCTURE OR FOREST LAND,8GY,1,ARSON STRUCTURE OR FOREST LAND - 8GY,1
ARSON:INHABITED STRUCTURE/PROP (F),8GY,2,ARSON:INHABITED STRUCTURE/PROP (F) - 8GY,1
ARSON:PROP (F),8GY,13,ARSON:PROP (F) - 8GY,1
ARSON:STRUCTURE/FOREST LAND (F),8GY,5,ARSON:STRUCTURE/FOREST LAND (F) - 8GY,1
ATTEMPT OR AID ARSON (F),8GY,1,ATTEMPT OR AID ARSON (F) - 8GY,1
ARSON OF PROPERTY,8HY,4,ARSON OF PROPERTY - 8HY,1
ARSON:INHABITED STRUCTURE/PROP (F),8HY,3,ARSON:INHABITED STRUCTURE/PROP (F) - 8HY,1
ARSON:PROP (F),8HY,68,ARSON:PROP (F) - 8HY,1
ARSON OF PROPERTY,8JY,3,ARSON OF PROPERTY - 8JY,1
ARSON STRUCTURE OR FOREST LAND,8JY,6,ARSON STRUCTURE OR FOREST LAND - 8JY,1
ARSON:INHABITED STRUCTURE/PROP (F),8JY,12,ARSON:INHABITED STRUCTURE/PROP (F) - 8JY,1
ARSON:PROP (F),8JY,99,ARSON:PROP (F) - 8JY,1
ARSON:STRUCTURE/FOREST LAND (F),8JY,55,ARSON:STRUCTURE/FOREST LAND (F) - 8JY,1
ATTEMPT OR AID ARSON (F),8JY,8,ATTEMPT OR AID ARSON (F) - 8JY,1
ATTEMPT/AID/COUNSEL/PROCURE ARSON,8JY,1,ATTEMPT/AID/COUNSEL/PROCURE ARSON - 8JY,1
ACCESS COMPUTER TO DEFRAUD,A,1,ACCESS COMPUTER TO DEFRAUD - A,0
ACCESS COMPUTER/ALTER DATA:DEVISE SCHEME DEFRAUD (F),A,9,ACCESS COMPUTER/ALTER DATA:DEVISE SCHEME DEFRAUD (F) - A,0
ACCESS COMPUTER/ALTER/ETC DATA:DEVISE SCHEME/ETC DEFRAUD/ETC (M),A,4,ACCESS COMPUTER/ALTER/ETC DATA:DEVISE SCHEME/ETC DEFRAUD/ETC (M) - A,0
AIM/ETC LASER POINTERS AT PEACE OFFICER (M),A,1,AIM/ETC LASER POINTERS AT PEACE OFFICER (M) - A,0
ALTER COMPUTER SYSTEMS:ILLEGAL USE (F),A,1,ALTER COMPUTER SYSTEMS:ILLEGAL USE (F) - A,0
ALTER SHOPPING/LAUNDRY CART (M),A,1,ALTER SHOPPING/LAUNDRY CART (M) - A,0
ALTER VEH ID NUMBER FOR SALE,A,1,ALTER VEH ID NUMBER FOR SALE - A,0
ALTER/CHANGE/ETC IMITATION FIREARM TO LOOK LIKE A FIREARM (M),A,4,ALTER/CHANGE/ETC IMITATION FIREARM TO LOOK LIKE A FIREARM (M) - A,0
"ANIMAL CRUELTY - OVERWORKS OR CRUELLY ABUSES, MUTILATES, TORTURES, KILLS (F)",A,2,"ANIMAL CRUELTY - OVERWORKS OR CRUELLY ABUSES, MUTILATES, TORTURES, KILLS (F) - A",0
APPROPRIATE LOST PROPERTY ($950 OR LESS) (M),A,575,APPROPRIATE LOST PROPERTY ($950 OR LESS) (M) - A,0
APPROPRIATE LOST PROPERTY (OVER $400),A,1,APPROPRIATE LOST PROPERTY (OVER $400) - A,0
APPROPRIATE LOST PROPERTY [OVER $950] (F),A,17,APPROPRIATE LOST PROPERTY [OVER $950] (F) - A,0
APPROPRIATION OF LOST PROPERTY (UNDER $400),A,6,APPROPRIATION OF LOST PROPERTY (UNDER $400) - A,0
ATTEMPT TO COMMIT 496 PC:STOLEN PROP (F),A,65,ATTEMPT TO COMMIT 496 PC:STOLEN PROP (F) - A,0
ATTEMPT TO COMMIT 496 PC:STOLEN PROPERTY,A,1,ATTEMPT TO COMMIT 496 PC:STOLEN PROPERTY - A,0
ATTEMPT TO PREVENT/DISSUADE VICTIM/WITNESS FROM REPORTING,A,2,ATTEMPT TO PREVENT/DISSUADE VICTIM/WITNESS FROM REPORTING - A,0
ATTEMPTED EXTORTION (F),A,8,ATTEMPTED EXTORTION (F) - A,0
CARRY SWITCHBLADE KNIFE ON PERSON (M),A,23,CARRY SWITCHBLADE KNIFE ON PERSON (M) - A,0
CONSUMPTION OR POSSESSION OF OPEN CONTAINER (M),A,6,CONSUMPTION OR POSSESSION OF OPEN CONTAINER (M) - A,0
CONTEMPT OF COURT WITH PRIOR CONVICTION 646.9 (M),A,2,CONTEMPT OF COURT WITH PRIOR CONVICTION 646.9 (M) - A,0
CONTEMPT OF COURT: DISOBEY COURT ORDER/PROCESS,A,14,CONTEMPT OF COURT: DISOBEY COURT ORDER/PROCESS - A,0
CRIMINAL CONTEMPT,A,10,CRIMINAL CONTEMPT - A,0
"CRUELTY TO ANIMAL-OVERWORKS,ABUSES,MUTILATES,TORTURES OR KILLS",A,1,"CRUELTY TO ANIMAL-OVERWORKS,ABUSES,MUTILATES,TORTURES OR KILLS - A",0
CUT SHRUBS W/O WRITTEN PERMIT (M),A,1,CUT SHRUBS W/O WRITTEN PERMIT (M) - A,0
DAMAGE GAS PIPE OR MAIN (F),A,1,DAMAGE GAS PIPE OR MAIN (F) - A,0
DAMAGE PROP TO VIOLATE CIVIL RIGHTS (M),A,4,DAMAGE PROP TO VIOLATE CIVIL RIGHTS (M) - A,0
DAMAGE/ETC PROPERTY TO VIOLATE CIVIL RIGHTS,A,1,DAMAGE/ETC PROPERTY TO VIOLATE CIVIL RIGHTS - A,0
DAYTIME LOITERING OF JUVENILES IN PUBLIC PLACES ON SCHOOL DAYS (I),A,1,DAYTIME LOITERING OF JUVENILES IN PUBLIC PLACES ON SCHOOL DAYS (I) - A,0
DEALER/ETC NOT DETERMINE OWNERSHIP:STOLEN PROPERTY [$950 OR LESS] (M),A,2,DEALER/ETC NOT DETERMINE OWNERSHIP:STOLEN PROPERTY [$950 OR LESS] (M) - A,0
